kalian juga tidak banyak membantu terkait dengan jaringan kalian yang terbukti tidak berkualitas .	kalian juga tdk banyak membantu terkait dengan jaringan kalian yang terbukti tdk berkualitas
saya sangat kecewa dengan kejadian seperti ini . saya mohon tindak lanjutnya , karena saya sudah bayar dari pagi tadi .	saya sangat kecewa dengan kwjadianseperti ini . tolong tindak lanjutnya , karena saya sdh bayar dari pagi tadi
kenapa tahu ? kamu memata - matai saya ?	kok tau ! kamu mata - matai aku ya !
sudah saya dm tetapi kenapa belum dijawab ?	sudah saya dm tapi kok blm dijawab ya ?
hai indosat . mengapa pulsa saya tersedot ?	hai indosat kenapa pulsa saya kesedot
pasti jawabannya juga begini . sudah bosan . sudah kuduga .	pasti jawaban nya juga begini xxxuserxxx udah bosan . sudah ku dogi .
lumayan untuk menonton youtube . terima kasih .	lumayan buat nonton youtube . terimakasih .
oke , terima kasih respons cepatnya . nanti saya cari dulu admin .	oke makasih fast response nya . nti sya cari dlu min .
saya kirim uang , mengapa tidak masuk ? padahal status berhasil dan saldo saya terpotong .	saya kirim uang , kenapa tidak masuk ? padahal status berhasil dan saldo sya terpotong
padahal kalau di tengah enak . pagi ini kirim dari jakarta atau jawa barat . besok sorenya sampai .	padahal kalo di tengah enak . pagi ini kirim dari jkt / jabar besok sorenya nyampe
admin , saya juga tidak dapat kode verifikasi untuk masuk aplikasi myim3 . itu bagaimana ?	min saya juga tidak dapat kode verifikasi untuk masuk app myim3 , itu gimana ya
selamat malam . ini kenapa ? mohon info . terima kasih .	malam . ini kenapa yaa ? mohon infoo . thank you
good job sekalian yang menjadi objek pajak . collect money di indonesia , tetapi ( katanya ) assetnya dibawa ke luar negeri .	good job sekalian yg dipajakin . collect money di indonesia , tp ( katanya loh ) assetnya dibawa ke luar negeri .
kalau kerja hanya menjadi buzzer seperti ini yang mau murah , malu dengan daerah yang tidak ada internetnya .	kalau kerja cuma jadi buzzer kayak gini , maunya murah malu sama daerah yang gak ada internetnya .
mengapa tidak bisa beli paket, admin ?	kok gabisa beli paket min ?
om atau tante admin . kemarin saya transfer dari rekening bri ke mandiri . namun hingga sekarang , uangnya belum sampai . tolong ditindaklanjuti .	om or tante admin kemarin saya transfer dari rekening bri ke mandiri sampai sekarang duitnya blm nyampe tolong ditindaklanjuti
ada yang mau menipu , semestinya admin memblokir nomor - nomor seperti ini .	ada yg mau nipu nih , mustinya admin blokir nomor2 kyk gini
saya salah pilihan isi resi . harusnya otomatis dari si cepat , tapi saya sudah terlanjut bayar tunai . nomor resinya , apakah bisa dirubah ?	saya salah pilihan isi resi , harusnya otomatis dari sicepat tapi saya malah terlanjur bayar cash , nomor resinya bisa diedit nggak ya ?
transfer ke rekening rdn dari jumat siang sampai sekarang belum masuk juga . tolong .	tfr ke rek rdn dari jum ' at siang sampe sekarang belum masuk juga help
oh iya , pak eko , kalau saya pakai modem andromaxnya . lumayan cepat internetan dan jaringan sudah lte juga .	oh iyaa . pak eko , kalo gue pake modem andromax nya , lumayan kenceng internetan dan jaringan uda lte pula
gojek sepersepuluh hidupku , terima kasih gojek telah membawaku keluar dari zona nyaman .	gojek sepersepuluh hidupku , makasih gojek telah membawaku keluar dari zona nyaman
saya isi gopay belum masuk admin . saya sangat kecewa . sudah menit lebih ini .	saya isi gopay belum masuk min , saya sangat kecewa . udah menit lebih ini .
alhamdulillah setelah libur hari onbid langsung diberi order , makanan lagi . terima kasih .	alhamdulillah stlh libur hari onbid lgsg dikasih orderan , food lg . thanks
"selamat sore admin . saya mau pesan tiket ka via web tetapi selalu tertulis , "" terjadi kesalahan pada sistem "" mohon solusinya . terima kasih ."	"selamat sore min . saya mau pesan tiket ka via web , tetapi selalu tertulis "" terjadi kesalahan pada sistem "" mohon solusinya . terima kasih"
iya kak terima kasih . tetapi tadi sudah datang ke galeri indosatnya langsung . sudah normal kembali .	iya kak terimakasih . tapi tadi sudah datang ke galeri indosatnya langsung . sudah normal lagi
malam admin , apakah situs kalian error ? mau order dari siang tadi tidak bisa - bisa .	malam min situs kalian error ya . mau order dari siang tadi ga bisa2 .
admin , pembelian token pln apa ada kendala ? ini belum masuk sudah jam lebih .	min pembelian token pln apa ada kendala , ini blm masuk udah jam lebih ?
sudah sudah sampai mana ? masa ke bintara saja tidak sampai - sampai ? tolong follow up .	udah udah sampe mana ya ? masa ke bintara aja ga sampe ? ( tolong follow up
sinyal beberapa hari ini kok sangat sampah ? tidak stabil , lambat . ada apakah ?	sinyal beberapa hari ini kok bapuk banget ya ? ga stabil , lemot . ada apakah ?
saldo terpotong , tapi uang tidak keluar . ini sudah kali kedua saya melakukan penarikan tunai di atm .	saldo kepotong tapi uang nggak keluar . ini udah kali kedua saya melakukan penarikan tunai di atm .
bagaimana cara pengambilan paket datanya admin ? sudah cek mytelkomsel dan tidak tersedia .	gimana cara pengambilan paket datanya min ? sudah cek my telkomsel dan gak tersediaa .
bni corporate apakah gangguan ? saya coba buka tidak bisa terus .	bni corporate gangguan kah ? saya coba buka gabisa terus
daripada lapor , lebih baik ke . pelayanan super cepat . begitu bukan ?	daripada lapor , mending ke . pelayanan super cepat . begitu bukan ? ️
ini email bukti transaksi jika berhasil .	ini email bukti transaksi kalo berhasil .
admin , kenapa kemarin saya naik grab tetapi tidak bisa bayar dengan saldo gopay ?	min , kmaren sy naik grab tp kok nda bisa bayar pake saldo gopay
admin , mengapa kalau pagi dapat pengemudinya jauh - jauh ?	min kalo pagi kok dapet drivernya jauh2 .
tagih hutang ke teman saat dia terlihat sedang kaya .	nagih utang ke temen pas doi keliatan lagi kaya
admin , paketan saya mengapa sejak kemarin tidak ada perubahan ? mengapa stuck ? saya memakai ons resi .	min paketan q koq dr kmrn g ad perubahan ya . knp stuck . q pake ons resi
bermeditasi untuk menjadi lebih kuat dan lebih besar . ke negeri flexi di planet bernama jenius . hahaha .	bermeditasi untuk menjadi lebih kuat dan lebih besar . ke negri flexi di planet bernama jenius . hiyahiyahiya
pelanggan : pak , bisa ambil orderan go food saya ? driver : bisa bu , maaf abis dansa . pelanggan : .	cust : pak bisa ambil orderan gofood saya ? driver : bisa bu , maaf abis joget . cust : .
halo admin , ini mengapa saya selalu ditelepon oleh cs dan disaat jam kerja ?	halo admin , ini kenapa saya selalu di telpon oleh cs ? dan disaat jam kerja .
selamat sore , sudah saya dm ya , admin . jadi bagaimana ?	selamat sore , sudah sy dm ya min . jadi bagaimana ya ?
hahaha , pusing . makanya , mari jadi perempuan dulu .	wkwkwkwkwk pusink , jadi cewe dulu makanya yok
jl . politeknik , kec . tamalanrea , makassar , sulawesi selatan . jaringan di sini jelek sekali , mengapa tidak diperbaiki ? kuota banyak , namun jaringan sangat jelek seperti ini .	jl politeknik , kec tamalanrea , makassar , sulawesi selatan . jaringan disini bapuk ngk ketulungan , benerin napa ? kuota banyak tapi jaringan kyk asu gini
pernah baca di ig hpnya di - setting dahulu supaya tidak cor .	pernah baca di ig hp nya disetting dulu gitu biar gacor
mohon dicek . mengapa sering limited access ? terhubung tapi tidak ada internet dan tidak ada pemberitahuan fup harian .	mohon dicek . kok sering limited access , terhubung tapi tidak ada internet , dan tidak ada pemberitahuan fup harian .
what ’ s happening ? grabfood tidak bisa .	what ’ s happening ? grab foodnya gak bisaa
admin , kode promo ovopayday di app saya mengapa tidak muncul ?	min , kode promo ovopayday di app saya kok ga muncul
admin kenapa paket tau di mytelkomsel saya cuma muncul ? ( cuma heavy )	min kenapa paket tau di mytelkomsel saya cuma muncul ? ( cuma heavy )
selamat siang . saya ingin menghapus akun go - jek saya , mohon bantuannya . terima kasih .	selamat siang saya ingin menghapus akun gojek saya , mohon bantuannya . terimakasih
iya , tidak bisa sudah diandalkan yang model seperti ini hehe .	iye , ga bisa dah diandelin yang model begini he . he .
: seberapa kamu ? : besok mengajak yang ditaksir ke puncak : terus ? : saya suruh dari sekarang pakai makeupnya .	: seberapa kamu ? : besok ngajakin gebetan ke puncak : terus ? : gue suruh dari sekarang pakai make up nya
kayaknya memang lagi error . aku juga begini dari tadi . sudah di logout terus login lagi juga tetap saja .	kayaknya emang lg eror . aku juga begini dr tadi udah di log out terus login lg juga tetep aja
kita balas - membalas pesan otomatis masuk notification - nya markonah .	kita reply2an kan otomatis masuk notificatione markonah
malam grab . pesanan saya malam ini tiba - tiba selesai , sebelum sampai . sudah melakukan pengaduan melalui email . berapa lama prosesnya ?	malam grab . pesanan saya malam ini tiba2 selesai sebelum sampai . sudah melakukan pengaduan via email . berapa lama prosesnya ?
jaringan tertutup kabut . tidak bisa terhubung .	jaringan tertutup kabut gak bisa konek
ibu saya yang email , saya duduk manis saja terkena sedikit omongan .	emak gue yang email emailan , gue duduk manis aja kena ocehan dikit
nomor resi mohon dibantu admin . belum diantar kurirnya .	no resi mhon dbantu min . blm diantar kurir nya
admin perlu dicontoh anak baik yang bekelnya selalu habis !	tuh min perlu dicontoh nih anak baik yang bekelnya selalu habis !
admin , kenapa ya saya buka ovo selalu seperti ini ? padahal koneksi jaringan bagus .	min kenapa ya saya buka ovo begini terus ? padahal koneksi jaringan bagus
maaf admin , nomor saya tidak bisa dipakai internet , nelpon , dll . mohon ditanggapi dm saya .	maaf min no saya tidak bisa dipakai internet , nelpon dll . mohon ditanggapi dm saya
mohon dibantu puk untuk nomor , nomor kartu.	mohon dibantu puk utk nomor nomor kartu
tolong cek dm dari saya . terima kasih .	tolong cek dm dari saya . thankyou
sabar kakak . buah dari kesabaran itu hasilnya pasti .	sabarr kaka buah dari kesabaran itu hasilnya pasti
sudah admin , tolong cek dm .	udah min , tolong cek dm ya
memang tidak lihat itu logo ?	emang gk lihat itu logo ?
eg713315489kr tetapi belum masuk . indonesia , kak . masih dalam perjalanan .	eg713315489kr tp belum msk indo kak masih otw
siap kakak , tadi kebetulan ada telepon masuk , jadi lari mangkuknya hehe .	siap kakak , tdi kbtulan ada tlp masuk jdi lari mangkuknya hhe
mau menangis , kesal sekali paket yellow susah sekali diaktifkan . tolong admin , saya tidak bisa belajar .	mau nangis kesel banget paket yellow susah banget diaktifin tolong min gabisa bljr w
admin , bagaimana cara menambah masa aktif kartu loop ?	min , cara menambah masa aktif kartu loop gmna ?
di sini senang , di sana senang - ibu sud .	disini senang disana senang - ibu sud
ini perusahaan besar karena mencuri uang konsumen ditukar dengan paket internet sampah dan masih melakukan pencurian - pencurian pulsa dengan konten - konten pencuriannya	ini perusahaan gede karena maling uang konsumen di tukar dgn paket inet sampah dan masih melakukan pencurian2 pulsa dgn konten2 malingnya
mohon periksa , sudah lama .	cek donk lama itu
terima kasih sayang bonus kuota gb - nya . lumayan satu hari untuk streaming , hahaha .	makasih syg bonus kuota gb nya , lumayan lah sehari juga buat streaming wkwk
kak , untuk layanan grab bandara . apakah harga yang tertera di aplikasi sudah termasuk biaya tol ?	kak untuk layanan grab airport harga yang tertera di aplikasi sudah termasuk biaya tol belum ya ?
terima kasih atas bantuannya . barangnya sudah saya terima .	terimakasih atas bantuannya , barangnya sudah saya terima .
oi , mengapa kamu memaksa saya isi kolom hobi ? faedahnya apa ? bank paling primitif sepertinya . harus ada kk ? kasihan e - ktp menganggur .	woii ngapain lo maksa gw isi kolom hobbi ? faedahnya apa ? bank paling primitive keknya , harus ada kk ? kasian ektp nganggur .
baiklah , terima kasih . tapi saya tidak sedang berlangganan apa - apa . namun , mengapa pulsa terpotong min ? kira - kira , bagaimana cara memeriksanya ? sebelumnya tidak pernah .	baiklah , terimakasih . tapi saya kan tidak sedang berlangganan apa - apa tapi kenapa pulsa saya kesedot ya min ? kira - kira bagaimana ya mengeceknya ? sebelumnya tidak pernah
admin , saya tadi beli voucher paket data yang gb , tapi kenapa tidak bisa masuk paket datanya ?	min , sy tadi beli vocher paketan data yang gb , tapi kok tidak bisa masuk ya paketan datanya .
kepada : mengapa paket yellow tidak dapat dipaketkan ?	dear : paket yellow kok nggak bisa dipaketin yaa ?
setuju ! paket beli , serasa seperti meminta . sangat lambat !	setuju ! paket beli berasa kaya minta lemot parah
a : besok saya mau naik grab ke kantor . b : lalu ? a : saya pakai helmnya sekarang juga .	a : besok gue mau naik grab ke kantor . b : lalu ? a : gue pakai helmnya sekarang juga .
masalahnya , akun driver bisa - bisanya kena bajak . tidak ada pilihan membatalkan karena itu yang membuat mbak ini tertipu , bang jek !	masalahnya akun driver bisa bisanya kena bajak . tidak ada pilihan cancel , karena itu yang buat mbak ini ketipu , bang jek !
halo admin , tolong dibantu nomor resi jp dan jp status sudah diterima . tapi saya dan orang rumah belum terima paketnya . tolong dibantu .	halo min tolong di bantu no resi jp dan jp status sudah diterima . tapi saya dan orang rumah belum terima paketnya . tolong dibantu .
kenapa beli pulsa ini tidak juga dikonfirmasi operator ? pulsa belum masuk .	kenapa beli pulsa ini tidak juga dikonfirmasi operator ? pulsa belum masuk ini
alhamdulillah masih banyak orang yang baik di bumi . mbaknya juga semoga lekas sembuh !	alhamdulillah masih banyak orang yg baik di bumi . mbak nya jg semoga lekas sembuh ya !
tidak tahu cell . takutnya , seperti itu hahaha .	gatau cell takutnya sih gitu hh
bukti buruknya pelayanan kalian yang lainnya .	bukti buruknya pelayanan kalian yang lainya .
lapor . bts mati di daerah kami .	lapor bts mati di daerah kami
kak , mengapa nomor pesanan sampai sekarang tidak sampai - sampai kak ? padahal aku pakai ekspedisi shopee eress hari yang sama . tolong bantuannya kak .	kak , kok no . pesanan sampai sekarang gak sampai2 yah kak ? padahal aku pake ekspedisi shopee eress sameday . tolong bantuannya kak
si merah di sini g + lek , hahaha .	si merah disini g + lek wkwkwk
sering - sering ya admin promo seperti ini .	sering sering ya min promo kaya gini
admin , ini saya masih ada paket gb , mengapa malah pulsa yang terpotong ? kembalikan pulsa saya , admin !	min , ini gw masih ad paket gb , kok malah yg kepotong pulsa ! balikin pulsa gw min !
admin kalau mau membuat nomor kartu halo baru yang itu bagaimana prosedur dan biayanya ?	min kalau mau buat nomer kartu halo baru yang itu bagaimana prosedur dan biayanya ?
parah bukan ? apa karena akunnya ? hahaha .	edan ga sih apa karna akunnya ya wkwk
estimasi hari setelah keluar dari dc marunda kak ?	estimasi hari setelah keluar dari dc marunda kak ?
apakah indosat sedang error lagi ? tidak ada sinyal internet sama sekali .	indosat lagi eror lagi ? ga ada sinyal internet sama sekali
halo selamat malam mas / mbak admin . saya ada pertanyaan di dm . tolong dibaca . terima kasih .	halo selamat malam mas / mbak admin , saya ada pertanyaan di dm . tolong dibaca ya . terima kasih .
cukup frey , saya dan teman saya senang kalau harga kembali .	cukup frey , saya dan teman saya senang kalau harga kembali
selamat pagi , admin . you have no internet connection . please check your connection and try again .	selamat pagi , min ! you have no internet connection . please check your connection and try again
tolong respons dm saya . terima kasih .	tolong respon dm saya ya . makasih
shopee tidak bisa bayar tagihan indosat pascabayar admin ?	shopee gabisa bayar tagihan indosat pascabayar ya min ?
admin , penjualan ini kenapa kadaluwarsa , tidak otomatis selesai ?	min penjualan ini kog eired ya tidak otomatis selesai ?
keuntungan nya , mengapa tidak bisa min ?	keuntungan nya kok ga bisa ya min ?
halo . tolong komplain saya ditanggapi . sudah hari ini .	haalloo tolong dong komplain saya ditanggapi . sudah hari nih .
ok . siap kak . terima kasih responnya , kak .	okee siaap kaak . trimakasih responnya ka .
oh seperti itu , baru saja aku coba registrasi ke sms - nya selalu gagal kak , bagaimana ?	oh begitu , tadi aku coba regristrasi ke smsnya gagal terus kak , gimana yaa ?
admin , tolong . mengapa paket gb yang ribunya hilang ?	min tolong dong kenapaa paket gb yang k nya kok hilaang
admin , ini layanan grabfood di semarang apakah sedang masalah atau bagaimana ? dari kemarin pesan tidak bisa - bisa . tulisannya pengemudi sibuk semua .	min . ini layanan grabfood di semarang apa lagi trouble atau gimana sih ? dari kemaren pesen gabisa2 . tulisannya pengemudi sibuk semua .
selamat malam admin , mungkin bisa diperiksa dm saya , terima kasih .	selamat malam min . mungkin bisa di cek dm saya , terima kasih
aduh . paket internet mahal , internetnya lambat , lengkap sudah !	waduh paket internet mahal , inetnya lemot , lengkap sudah !
halo . bagaimana caranya kontak driver untuk kirim paket same day hours ? sama sekali tidak bisa mengirimkan . terima kasih .	halo gimana ya caranya kontak driver utk kirim paket same day hours ? sama sekali gabisa ngirim nih . makasih
saya sudah melakukan pengajuan pembaharuan tokopedia premier , tetapi belum disetujui . dana di tokopay tidak dapat ditarik .	saya sudah pengajuan update tokopedia priemier tapi blm disetujuu , dana di toko pay , tak bisa ditarik
lama sekali ini ! barang belum sampai ! resi .	lama sekali ini ! barang belum sampai ! resi :
halo , pakey saya dengan nomor resi tidak ada pergerakan dari kemarin . tolong konfirmasinya .	halo . paket saya dengan no resi tidak ada pergerakan dari kemarin . tolong konfirmasi nya
btw , saya habis makan es krim mochi rasa durian dan itu enak banget . kalau es krim rasa buah cempedak belum ada kan ?	btw , saya tadi habis makan es krim mochi rasa durian . dan itu enaak banget . klo es krim rasa buah cempedak belum ada kan ya ?
pencapaian hari ini , go - food , total ribu hanya bayar ribu . terima kasih hahaha .	achievement hari ini , gofood x , total k cuma bayar k , makasih wkw
kalau aku : lagi otw pulang tapi ibu menelpon menyuruh pulang . padahal posisi masih jauh dari rumah .	kalo aku : lagi otw pulang tapi nyokap nelpon nyuruh pulang padahal posisi masih jauh dari rumah .
iya ren , kamu ganti saja ke galeri indosat di kota . aku dulu juga ganti gratis tidak bayar saat di klaten .	iya ren kamu ganti aja ke galeri indosat di kota aku dulu juga ganti gratis kok ga bayar pas di klaten
dear , tolong baca dm dari saya , terima kasih .	dear tolong baca dm dari saya ya , terima kasih .
di mytelkomsel muncul seperti itu kak .	di my telkomsel muncul sperti itu kak
admin , perbaharui transaksi barang sudah dipick up .	min update transaksi , barang sudah di pick up
tolong ya , antar paket saya ke rumah . sudah terlalu lama menunggunya . nomor resi jp dan jp .	tolong ya antar paket sy kerumah , udh terlalu lama nunggunya jp dan jp
admin . resi , posisinya sudah di mana ?	min resi posisi udh dmna ?
pastinya masih ditunggu nih kejutannya selalu on . pokoknya lihat timelinenya .	pastinya masih dong ditunggu nih kejutannya selalu on pokoknya patengin timeline nya
"admin , apakah topads lagi bermasalah ? mengapa saya tidak bisa masukin iklan produk di grup ? keterangannya "" promo tidak valid ."	"min topads lagi bermasalah ya ? kog saya gak bisa masukin iklan produk ya di group ? keteranganya "" promo tidak valid """
walah mas , kata - katamu tidak sesuai sama username kamu .	walah mass . kata2 mu tak sesuai sama username mu . ckckc .
maksud voucher ini bagaimana ? saya sudah menyelesaikan misi , namun mengapa tetap tidak ada perubahan sama sekali ?	maksud voucer ini gimana , saya sudah slsikan misi , tapi kok ttp aj gk ad perubahan sama sekali
tidak ada perubahan min . sepertinya di kelapa gading memang susah sinyal nya min .	ngk ada perubahan min . keknya di kelapa gading emg susah sinyal nya min .
apakah jaringan sedang terganggu malam ini ? daerah bali .	jaringan lagi tergangu kah malam ini ? bali area
periksa dm admin indosat care . tidak bisa memaketkan lagi padahal , dia sudah menunggu pesan aku . tolong !	cek dem min indosar caree , ngga bisa maketin lagi padahal doi udh nunggu chat ku pls !
katanya beli chatime cashback . habis transaksi saldo bonusnya kosong .	katanya beli chatime cashback abis transaksi saldo bonusnya kosong
admin , boleh minta tolong di cek nomor xl saya masih aktif atau tidak ? soalnya dari kemarin tidak ada jaringan . terima kasih .	min boleh minta tolong di cek nomor xl saya masih aktif atau tidak kah ? soalnya dari kemarin kok gak ada jaringan . terima kasih
mau dipaketkan dari tadi malam tidak bisa terus . bagaimana admin ?	mau dipaketin dr td malem gabsa terus gimana ya min
ini malah operatornya yang buat spam .	ini malah operatornya yang bikin spam
ingatkan semua pengemudi jalanan itu ajang kompetisi , bukan sarana transportasi . siapa cepat dia dapat .	ingatkan semua pengemudi jalanan itu ajang kompetisi bukan sarana transportasi . sapa cepat dia dapat .
disuruh dm soal keluhan , tapi tidak direspons .	disuruh dm soal keluhan , tapi enggak di respon
admin , saya punya paketan telepon x24 jam tapi barusan dipakai malah pulsa saya yang terpotong . tolong bantuannya untuk dikembalikan pulsanya .	min saya punya paketan telpon x24 jam tapi barusan dipake malah pulsa saya yg kepotong tolong bantuannya untuk dikembalikan pulsanya
mengapa nomor saya tidak bisa didaftarkan paket data ? nomor .	no saya kok gak bisa di dftarin paket data , no
sudah email x juga sudah , cuma belum masuk juga . terima kasih .	udah nge email x juga udah cuman belom masuk juga makasi ya
saya pakai xl prioritas kenapa lambatnya minta ampun ? padahal dulu sangat cepat , apa lagi ada maintenance ?	saya pakai xl prioritas kok lemotnya minta ampun ya ? padahal dulu kenceng bangett , apa lagi ada maintenance ?
sudah nonton admin , sangat seru .	udah nonton dong min seru banget
tolong dibantu jaringan koneksi di bantargebang . sudah dari semalam lambat ini . terima kasih !	tolong dibantu jaringan koneksi di bantargebang . udh dr semalam lemot ini . tks !
admin , apakah sedang error ? login akun aplikasi tidak bisa , isi kuota tidak bisa , bagaimana ini ?	min , lagi eror ya ? login akun aplikasi ngga bisa isi kuota ngga bisa , cemana lah
admin tolong respon dm saya .	min tolong respon dm saya dong
sudah saya dm min . tolong direspon .	sudah saya dm min , tolong respon
admin , ini mengapa disuruh ganti pin ?	min , ini knp disuruh ganti pin ya ?
aduh . begadang tidak baik untuk kesehatan .	haduh . begadang gak baik untuk kesehatan
ok baik kak bella . terima kasih atas bantuannya .	oke baik kak bella terima kasih atas bantuannya .
admin , mengapa minggu ini tidak ada promo grab ? saya tidak bisa makan enak harga murah , admin . admin , bantu , hahaha .	min , minggu ini kok promo grab kaga ada sih . gw kaga bisa makan enak harga murah dong min . min , bantu dong wkwkwk .
selamat malam ! bisa periksa dm dari saya ?	selamat malam ! bisa cek dm dari saya ?
seberapa kamu ? nanti malam aku diajak pacar jalan . terus ? aku mandi dan dandan dari sekarang .	seberapa kamu ? nanti malam aku diajak pacar jalan terus ? aku mandi dan dandan dari sekarang
saya mau tanya soal aplikasi . saya dm .	saya mau tanya soal aplikasi . saya dm yak
kak , saya pesan grabfood . tapi makanan yang datang tidak sesuai dengan yang saya pesan dan yang saya bayar kak .	ka . sy pesan grab food . tp makanan yg dtg tdk sesuai dng yg sy pesan dan yg saya byr ka
cara input resi manual j & t bagaimana , admin ?	cara input resi manual j & t gimana min ?
cara pakainya bagaimana admin ? saya klik gunakan sekarang masuk ke web sampai itu saja .	cara pakainya gmn min , saya klik gunakan sekarang masuk ke web sampai situ aja
terima kasih kepada , anda telah membuat ldr lebih mudah	thanks to, u ’ ve made ldr easier
tweet indosat terus sudah seperti modus dengan admin saja . bangkai , tidak direspons .	ngtweet indosat terus , udah kyk modus sama admin aja , bangke lah gak di respon .
ini bagaimana pembayaran kartu kredit bni saya melalui tokopedia dari tanggal hingga sekarang tidak masuk juga ? ini saya dikeluhkan pihak bni !	ini gmn pembayaran kartu kredit bni sy melalui tokopedia dr tanggal sampai skg tidak masuk juga ? ini sy di komplain pihak bni !
go - jek , tolong dibantu . saya memesan go - food dan pesanan sudah selesai dari pukul . tapi pengemudi belum mengkonfirmasi pesanan telah selesai . bagaimana ya ?	gojek tolong dibantu saya pesan go food dan pesanan sudah selesai dari pukul tapi driver belum mengkonfirmasi pesanan telah selesai . ini gimana ya ?
sudah habis masa berlaku tantangannya .	sudah habis masa berlaku challenge nya
kak , akun saya kenapa tiba - tiba aktif suppr seller ? padahal tidak pernah diaktifkan . dan poin juga masih belum mencukupi .	kak . account saya knp kok tiba2 aktif suppr seller nyay ? padaal tida perna diaktifkn . dan point jugamsih blm mencukupi
mengapa tidak bisa mengirim sms ke operator ?	kok gabisa kirim sms ke operator ya
"asu , mention "" mimin cantik blah blah "" dan lain sebagainya sangat cepat dibales . saya tanya paket sudah sejam lebih tidak dibalas ."	"su asu mention "" mimin cantik blah blah "" dlsb cepet bgt di bales gua nanya paketan dah sejam lebih ga di bales"
bangkunya tetap prioritas . jangan biasakan langsung mengambil bangku tengah , kasihan orang lagi tidur diminta bangun .	"bangkunya tetap prioritas , ya jgn biasakan langsung ambil bangku tengah kasihan org lg tidur dsuruh bangun """
percuma , pulsa aku saja sisa dan sedikit lagi berakhir .	percuma , pulsa ku aja sisa dan dikit lg berakhir
semoga sebentar lagi bangkrut perusahaan sinyal seperti kotoran . buat darah tinggi saja .	semoga bentar lagi bangkrut nih perusahaan sinyal kek tai bener dah bikin darah tinggi doang
kakak sini hari tidak bisa dipakai .	kakak sini hari ga bisa d pakekk
tolong cek dm lagi admin .	tolongg cek dm lagi yaa min
jangan mau admin , pasti jadinya juta lebih seribu untuk biaya admin .	jangan mau min , pasti jadinya juta lebih seribu buat biaya admin .
admin , apa saja syarat untuk upgrade kartu dari g ke g ? maksud saya , saya harus membawa apa saja ?	min , kl mau upgrade kartu g ke g syaratnya apa aja ya . bawa apa aja mksdnya
hai jnt . mau tanya mengapa paket yang saya kirim masih begini saja . mohon pencerahannya .	hai jnt mau tanya dong kenapa paket yg saya kirim masih gini aja ya mohon pencerahannya
kak , bantu isikan resi pesanan dengan nomor resi jp .	kak bantu input resi pesanan dengan nomer resi jp
gampang sekali ternyata menjadi mitra bonstri . tidak percaya ? saya kasih caranya .	gampang bgt ternyata jadi mitra bonstri . ga percaya ? nih gue kasih caranya
hai kak , dari awal pemesanan mau bayar tidak bisa terus nih kak . solusinya bagaimana ?	hi kak , dari awal pemesanan mau bayar gak bisa terus ni kak . solusinya gimana ya ?
berapa lama proses pembukaan rekening tahaka melalui klikbca ?	kalo proses pemrek tahaka via klikbca brp lama prosesnya ?
aku pernah seperti begitu . karena saldo ovonya kurang dari nominal yang harus dibayar .	iih ak pernah kaya gitu . gara2 saldo ovonya kurang dari nominal yg harus dibayar
kembali kasih kak rizky , apabila ada pertanyaan atau kendala jangan ragu untuk dm atau mention kami di kak . salam mei .	kembali kasih kak rizky , apabila ada pertanyaan atau kendala jangan ragu untuk dm atau mention kami di ya kak . salam ^ mei
bang , gagal memuat saldo . bagaimana maksudnya ? jadinya tidak bisa dipakai transaksi .	"bang , "" gagal memuat saldo "" ini gimana yak mksdnya ? jadinya gk bisa dipake transaksi soalnya ,"
dm adalah balasan yang dimana ?	dm itu balasan yg dimana ya ?
cek dm dari saya admin .	cek dm dari saya dong min , hadeh
mengapa kalau baca kkn terngiangnya di saya kkn desa penari ?	kok kalo baca kkn terngiang nya di gue kkn desa penari sih
pembelian berapa agar dapat voucher k ?	pembelian berapa agar dapat pocer k ?
kenapa susah sekali dapat driver untuk gofood ?	kok susah banget dapet driver buat gofood yaa ?
ini memang buruk . data sampai giga , tidak berguna sekali parah .	ini emang kaya tai ya . data ampe giga ga guna bener anjing
admin paketku di mana ? aku sudah menghubungi customer service bahwa pulsaku habis , jadi terputus . padahal , di track sudah sampai tujuan , tapi tidak saya terima jp	min paketanku dimana aku udah ngubungin cs pulsaku abis jadi terputus padahal di track udah nyampe tujuan tapi nggk nerima jp ️
halo admin , mau bertanya . pengiriman dokumen apakan bisa bayar di tempat penerima ? terima kasih .	hi min , mau tanya dong . pengiriman dokumen bisa bayar ditempat penerima ga ? terima kasih
hai kak . mohon cek dm .	hai kak mohon cek dm yaa
tidak menggunakan bpjs , lebih baik top up linkaja	engga pakai bpjs mending top up link aja
di nomor pakai linkaja yuk untuk berbelanja .	di nomor pakai link aja yuk untuk berbelanja
setiap kali pesan grab , pasti sering terjadi pembatalan . lucu memang . saya tidak tahu sistem dengan pengemudinya bagaimana . berbeda dengan yang di sebelah yang jarang ada pembatalan .	setiap pesen grab , psti sering ada cancelnya . kocak dah emng . gak tau deh sistem sma drivernya gmn , beda sma yg sebelah , jrang ada cancel .
mengapa kuota internet lokal kami tidak dapat digunakan ? padahal , aktivasi di tempat domisili . bagaimana solusinya ?	kenapa kuota internet lokal kami tidak bisa di gunakan , padahal aktivasi di tempat domisili , bagaimana jalan kluarnya ,
